SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,water_level
REGION,1901,5.1,5.2,10.5,22.9,45.7,146.5,271.4,200.0,141.3,45.3,23.2,10.0,1027.0
REGION,1902,5.0,4.8,10.0,27.0,54.5,150.1,253.5,186.1,138.9,51.8,25.2,9.8,1017.0
REGION,1903,4.9,4.7,9.9,25.6,47.7,146.1,244.4,218.6,140.9,54.4,27.3,10.9,1036.0
REGION,1904,5.3,5.1,9.4,25.4,47.4,151.4,229.6,197.7,162.0,45.6,25.9,10.0,1015.0
REGION,1905,4.6,5.4,9.2,25.7,48.9,153.3,263.4,207.7,161.5,54.6,26.8,10.1,1071.0
REGION,1906,4.7,5.3,10.3,23.4,47.5,151.5,228.8,191.5,150.4,51.1,23.3,10.2,998.0
REGION,1907,5.1,4.9,10.1,24.6,52.4,136.2,262.9,200.0,153.6,47.4,27.0,10.0,1034.0
REGION,1908,5.2,4.6,9.7,26.8,49.7,144.4,273.7,203.4,164.4,50.0,24.6,9.5,1066.0
REGION,1909,4.5,5.1,9.3,26.7,49.1,147.5,274.9,185.2,141.2,52.2,25.7,9.1,1030.0
REGION,1910,5.3,5.1,10.1,24.5,54.4,165.0,269.8,211.0,135.2,51.3,24.9,11.0,1068.0
REGION,1911,5.0,4.9,10.5,22.5,49.7,163.2,225.7,195.7,151.4,45.5,27.4,9.7,1011.0
REGION,1912,5.1,4.8,10.1,26.4,53.9,162.3,251.6,204.8,138.5,52.0,23.4,9.6,1043.0
REGION,1913,5.5,5.5,10.8,25.6,47.6,136.8,241.7,204.9,161.3,46.6,23.3,9.3,1019.0
REGION,1914,4.9,5.4,10.2,25.6,50.1,145.5,270.3,202.2,139.0,54.9,27.2,9.3,1045.0
REGION,1915,5.2,5.1,9.6,26.9,49.7,156.6,238.5,192.8,144.4,46.1,25.9,10.7,1011.0
REGION,1916,5.1,5.1,9.1,24.6,51.1,139.4,253.2,217.9,136.8,50.5,24.9,10.5,1028.0
REGION,1917,5.2,5.0,9.2,27.3,53.4,137.6,249.9,208.7,150.3,50.1,25.5,10.8,1033.0
REGION,1918,4.9,5.2,9.5,26.2,51.3,163.7,231.4,204.8,160.8,52.0,22.8,10.2,1043.0
REGION,1919,5.3,5.4,10.7,26.5,46.5,161.6,273.9,207.0,152.2,47.8,27.2,10.0,1074.0
REGION,1920,5.3,4.9,10.8,23.4,46.9,149.7,261.2,204.0,147.6,46.8,26.8,9.5,1037.0
REGION,1921,5.0,4.5,9.5,22.5,54.6,161.2,243.9,196.5,154.3,47.3,26.2,9.9,1036.0
REGION,1922,5.0,5.3,10.1,26.5,50.7,158.4,237.0,211.4,159.0,45.1,23.4,9.2,1041.0
REGION,1923,4.6,5.2,9.7,26.0,52.4,157.5,234.2,196.7,136.7,52.6,24.6,9.3,1010.0
REGION,1924,4.8,5.1,10.7,23.2,51.5,146.2,237.6,194.0,150.6,53.2,23.5,10.0,1010.0
REGION,1925,5.1,4.8,9.8,27.4,53.7,150.4,248.0,215.6,138.9,49.7,27.2,10.6,1041.0
REGION,1926,4.6,5.3,9.2,23.7,52.2,146.8,233.7,185.9,142.2,47.1,22.9,9.6,983.0
REGION,1927,4.5,5.0,10.9,24.6,53.3,162.3,249.4,212.4,152.8,52.2,26.2,10.0,1064.0
REGION,1928,5.0,5.2,9.7,24.9,54.6,137.7,274.1,196.8,159.8,48.2,23.0,10.1,1049.0
REGION,1929,5.0,5.3,10.8,23.3,54.5,136.1,235.5,219.8,135.1,45.3,26.9,9.6,1007.0
REGION,1930,5.1,5.5,10.9,26.0,51.4,154.1,273.6,195.0,150.3,51.5,24.7,10.1,1058.0
REGION,1931,4.6,5.2,10.0,25.6,47.0,153.3,242.1,192.9,163.4,51.0,26.5,9.2,1031.0
REGION,1932,4.6,4.8,10.2,27.2,54.0,144.2,244.1,183.5,161.2,50.8,26.9,9.7,1021.0
